date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Maharashtra,Mumbai Suburban,400024,1,0,0
01-09-2025,Maharashtra,Mumbai Suburban,400050,0,1,0
01-09-2025,Maharashtra,Mumbai Suburban,400053,4,0,0
01-09-2025,Maharashtra,Mumbai Suburban,400057,0,1,0
01-09-2025,Maharashtra,Mumbai Suburban,400070,4,3,0
01-09-2025,Maharashtra,Mumbai Suburban,400076,0,0,2
01-09-2025,Maharashtra,Mumbai Suburban,400088,1,0,0
01-09-2025,Maharashtra,Mumbai Suburban,400093,1,0,0
01-09-2025,Maharashtra,Mumbai Suburban,400102,5,0,0
01-09-2025,Maharashtra,Mumbai Suburban,400103,1,0,0
01-05-2025,Maharashtra,Mumbai Suburban,400095,86,49,18
01-05-2025,Maharashtra,Mumbai Suburban,400097,66,40,26
01-05-2025,Maharashtra,Mumbai Suburban,400078,58,22,11
01-05-2025,Maharashtra,Mumbai Suburban,400067,97,54,23
01-07-2025,Maharashtra,Mumbai Suburban,400043,854,758,25
01-07-2025,Maharashtra,Mumbai Suburban,400059,125,69,11
01-07-2025,Maharashtra,Mumbai Suburban,400074,148,64,12
01-04-2025,Maharashtra,Mumbai Suburban,400058,82,13,10
03-09-2025,Maharashtra,Mumbai Suburban,400049,1,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400052,1,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400063,1,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400068,4,3,0
03-09-2025,Maharashtra,Mumbai Suburban,400069,2,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400070,7,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400089,1,0,0
03-09-2025,Maharashtra,Mumbai Suburban,400097,7,1,0
03-09-2025,Maharashtra,Mumbai Suburban,400103,1,1,0
02-09-2025,Maharashtra,Mumbai Suburban,400055,0,1,1
02-09-2025,Maharashtra,Mumbai Suburban,400057,0,1,0
02-09-2025,Maharashtra,Mumbai Suburban,400064,1,0,0
02-09-2025,Maharashtra,Mumbai Suburban,400067,4,0,0
02-09-2025,Maharashtra,Mumbai Suburban,400069,1,0,0
02-09-2025,Maharashtra,Mumbai Suburban,400070,3,3,0
02-09-2025,Maharashtra,Mumbai Suburban,400071,1,0,0
02-09-2025,Maharashtra,Mumbai Suburban,400072,6,1,0
02-09-2025,Maharashtra,Mumbai Suburban,400089,2,1,0
02-09-2025,Maharashtra,Mumbai Suburban,400093,3,0,0
02-09-2025,Maharashtra,Mumbai Suburban,400101,0,3,0
02-09-2025,Maharashtra,Mumbai Suburban,400104,1,1,0
05-09-2025,Maharashtra,Mumbai Suburban,400043,3,0,0
05-09-2025,Maharashtra,Mumbai Suburban,400052,0,1,0
05-09-2025,Maharashtra,Mumbai Suburban,400056,1,0,0
05-09-2025,Maharashtra,Mumbai Suburban,400072,3,2,0
05-09-2025,Maharashtra,Mumbai Suburban,400075,1,0,0
05-09-2025,Maharashtra,Mumbai Suburban,400076,1,0,0
05-09-2025,Maharashtra,Mumbai Suburban,400104,1,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400064,1,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400088,2,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400091,1,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400092,1,0,0
06-09-2025,Maharashtra,Mumbai Suburban,400094,0,1,0
04-09-2025,Maharashtra,Mumbai Suburban,400051,1,2,0
04-09-2025,Maharashtra,Mumbai Suburban,400063,0,1,0
04-09-2025,Maharashtra,Mumbai Suburban,400069,1,0,0
04-09-2025,Maharashtra,Mumbai Suburban,400076,1,0,0
04-09-2025,Maharashtra,Mumbai Suburban,400078,5,1,0
04-09-2025,Maharashtra,Mumbai Suburban,400101,1,1,0
07-09-2025,Maharashtra,Mumbai Suburban,400043,1,0,0
07-09-2025,Maharashtra,Mumbai Suburban,400070,1,0,0
08-09-2025,Maharashtra,Mumbai Suburban,400043,0,3,0
08-09-2025,Maharashtra,Mumbai Suburban,400053,2,0,0
08-09-2025,Maharashtra,Mumbai Suburban,400055,1,2,0
08-09-2025,Maharashtra,Mumbai Suburban,400069,0,2,0
08-09-2025,Maharashtra,Mumbai Suburban,400104,2,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400061,0,0,1
09-09-2025,Maharashtra,Mumbai Suburban,400064,2,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400065,3,1,0
09-09-2025,Maharashtra,Mumbai Suburban,400070,6,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400077,3,1,0
09-09-2025,Maharashtra,Mumbai Suburban,400083,3,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400084,1,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400092,2,0,0
09-09-2025,Maharashtra,Mumbai Suburban,400099,0,1,0
10-09-2025,Maharashtra,Mumbai Suburban,400042,0,2,0
10-09-2025,Maharashtra,Mumbai Suburban,400043,13,7,0
10-09-2025,Maharashtra,Mumbai Suburban,400052,1,0,0
10-09-2025,Maharashtra,Mumbai Suburban,400059,4,0,0
10-09-2025,Maharashtra,Mumbai Suburban,400070,5,1,0
10-09-2025,Maharashtra,Mumbai Suburban,400072,4,1,0
11-09-2025,Maharashtra,Mumbai Suburban,400042,1,1,0
11-09-2025,Maharashtra,Mumbai Suburban,400052,2,0,0
11-09-2025,Maharashtra,Mumbai Suburban,400066,3,1,0
11-09-2025,Maharashtra,Mumbai Suburban,400069,2,0,0
11-09-2025,Maharashtra,Mumbai Suburban,400070,1,2,0
11-09-2025,Maharashtra,Mumbai Suburban,400083,1,0,0
11-09-2025,Maharashtra,Mumbai Suburban,400086,1,0,0
11-09-2025,Maharashtra,Mumbai Suburban,400092,2,1,0
11-09-2025,Maharashtra,Mumbai Suburban,400095,3,2,0
11-09-2025,Maharashtra,Mumbai Suburban,400099,1,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400053,2,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400070,1,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400071,1,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400082,1,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400084,0,1,0
14-09-2025,Maharashtra,Mumbai Suburban,400087,1,0,0
14-09-2025,Maharashtra,Mumbai Suburban,400095,2,1,0
14-09-2025,Maharashtra,Mumbai Suburban,400097,5,0,0
